text_id,text,original_code,replicated_code,model_code,reason
0,The Food and Drug Administrations seeks input about online advertising of drugs and other medical products.,0.0,0.0,0.0,0.0 - This text is not related to climate change or any of the codes in the codebook.
1,"Has the globe warmed? Most think that since the late 19th century, there has been some warming. The issue becomes muddled when you consider such factors as the reliability of the data sets, the selective use of the proxy data used to estimate historic temperatures and the way urbanization warms local weather stations.",5.1,5.1,5.1,"Reasoning: The text questions the reliability of climate-related data sets and methods, suggesting uncertainty and unsoundness in climate-related science. This aligns with code 5.1."
2,"The Heartland Institute is a 27-year-old national nonprofit organization with offices in Chicago and Washington, DC. Its mission is to discover, develop, and promote free-market solutions to social and economic problems. For more information, visit our Web site at http://www.heartland.org or call 312/377-4000.",0.0,0.0,0.0,"Reasoning: The text does not contain any statements related to climate change, so none of the codes in the codebook are applicable."
3,Interesting facts were revealed in this article about media mergers:,0.0,0.0,0.0,"The text is not related to climate change or any of the codes in the codebook. Therefore, none of the codes apply."
4,"""The government is mobilized to find the truth, the press and Internet are flooded with posts demanding clarity. Premier Wen Jiabao offered his condolences to the victims and called for a speedy and transparent investigation.""",0.0,5.3,0.0,0.0 - This text does not relate to any of the codes in the codebook as it does not mention climate change or any related topics.
5,"Apple Inc rejoined the EPEAT environmental ratings system on Friday, acknowledging that its decision to stop participating in a program that rates the green credentials of electronic products was a mistake.",0.0,0.0,0.0,"Reasoning: The text is not related to any of the codes in the codebook. It is about Apple Inc's decision to rejoin the EPEAT environmental ratings system, and does not contain any information or opinions about climate change or related policies. Therefore, none of the codes in the codebook apply."
6,"Rather than one guess being applicable to all measurements, I ended up needing four different groups each with a different guessed deflation. A good guess (i.e. one that worked) for the majority of balls (7) was 0.38 psi an interesting number that Ill discuss in the post. A good guess for two balls was zero deflation. But for ball #7, it was necessary to assume that it had been inflated by approximately 0.5 psiin the washroom. One ball was lower than the others (0.76 psi) and remains hard to explain. The Wells Report reasonably drew attention to variability, but did not address the details of actual variability other than arm-waving and did not actually show that erratic washroom deflation was a plausible explanation for observed variability.",0.0,0.0,0.0,Reasoning: The text does not mention anything related to climate change or any of the codes in the codebook.
7,Obama Targets GOP States With Costly CO2 Regulations,4.1,4.1,4.1,"Reasoning: The text suggests that Obama's CO2 regulations are targeting GOP states and are costly, indicating a negative view of climate policies. Code 4.1 specifically addresses the belief that climate policies (mitigation or adaptation) are harmful, which aligns with the sentiment expressed in the text."
8,"Interestingly, McClure wrote in his July 2006 Seattle P-I blog about skeptic Pat Michaels, quoting CNN's Peter Dykstra:",0.0,0.0,5.2,"Reasoning: The text does not contain any statements related to climate change itself, but rather mentions a blog post about a climate change skeptic. Therefore, the most applicable code is 5.2, which pertains to criticisms of the climate movement and its supporters. The mention of a skeptic and a quote from a news anchor suggest a critical perspective on climate change and those who advocate for action on it."
9,"That basically applies to all EPA rule making, though in this case the EPA was supposed to answer in 90 days. But last Thursday the agency took another 90-day extension, the third so far. ""We would like to assure you that we are working diligently to provide you with a substantive response,"" the EPA claimed.",0.0,5.2,0.0,0.0 - This text does not relate to any of the codes in the codebook. It is discussing the EPA's delay in responding to a rule making request and does not mention climate change or any related topics.
10,"Mark Christian MD is a former muslim, groomed for leadership in Egypt as the son of a Muslim Brotherhood leader, who is now a Christian. He is an eloquent voice warning of the dangers of the jihadi schemers. He understands the Islamic concepts of deceit, , taqia, dawa and kitman but most well-intentioned westerners are not aware of the viper in the sheets that is intent on destroying infidel culture for the greater glory and tyranny, the ultimate goal, the world-wide sharia caliphate.",0.0,0.0,0.0,"The text is not related to climate change and does not contain any information that can be coded using the provided codes in the codebook. Therefore, none of the codes apply."
11,"15) How Significant is the Climategate Release of E-Mails? While Climategate does not, by itself, invalidate the IPCC?s case that global warming has happened, or that humans are the primary cause of that warming, it DOES illustrate something I emphasized in my first book, ?Climate Confusion?: climate researchers are human, and prone to bias.",5.2,5.3,5.2,"The text mentions ""Climategate,"" which refers to the release of emails from climate researchers that some conservatives believe show evidence of bias and manipulation of data. The text acknowledges that this event does not invalidate the case for global warming, but it does suggest that climate researchers are human and prone to bias. This aligns with code 5.2, which pertains to skepticism of the climate movement and its perceived biases."
12,"Increasing the air temperature by 2C increased ecosystem evapotranspiration ; but the imposition of twice-ambient atmospheric CO 2 concentrations reduced this impact of the temperature increase while simultaneously enhancing ecosystem net primary production. Thus, ecosystem water-use efficiency rose under conditions of simultaneously-elevated air temperature and CO 2 concentration. In addition, the air temperature increase had little effect on soil organic carbon content, boosting it by only 1%. Doubling the atmospheric CO 2 concentration, on the other hand, increased soil carbon storage by 5%; and when both air temperature and CO 2 concentration were increased together, the simulated increase in soil carbon content was a full 10%. What it means",3.3,3.3,2.3,"Reasoning: The text discusses the effects of increased atmospheric CO2 concentrations on ecosystem evapotranspiration, net primary production, and soil carbon storage, but does not make any direct claims about the role of greenhouse gases in driving climate change. Therefore, Code 2.3 is the most applicable as it suggests a lack of evidence for the greenhouse effect and carbon dioxide driving climate change."
13,"I attended these events on the Mall that weekend and found them to be a wonderful antidote to the green hype of Live Earth and, in truth, a better example of true conservation and simple living then the giant rock concerts were. They were a sort of anti-rock festival, with informal singing and craftsmanship taking precedence. And for bizarre reasons, the Folklife Festival itself has itself actually come under attack from the greens. I will share my impressions and get into the controversy later. In the meantime, back to Gore's lies.",0.0,0.0,5.2,"The text mentions ""Gore's lies"" and refers to the events on the Mall as an ""antidote to the green hype of Live Earth."" This suggests a skepticism or criticism of the climate movement and its leaders, which aligns with code 5.2. Additionally, the mention of controversy surrounding the Folklife Festival suggests a potential political bias or conflict, further supporting the choice of code 5.2."
14,"In summing up their discussion of the subject, therefore, Laxon et al. simply state that their results ???show that errors are present in current simulations of Arctic sea ice,?? and they thus conclude, in the closing sentence of their paper, that ???until models properly reproduce the observed high-frequency, and thermodynamically driven, variability in sea ice thickness, simulations of both recent, and future, changes in Arctic ice cover will be open to question.??",5.1,5.1,5.1,"The text does not make any claims about the causes or impacts of climate change, but rather discusses the accuracy of current simulations of Arctic sea ice. The mention of ""simulations"" and ""models"" suggests a focus on the scientific methods and data used to study climate change, which aligns with code 5.1 for uncertainty in climate-related science."
15,"Population pressures were and remain a genuine environmental concern, but it gradually became clear that Ehrlich and other alarmists had way overestimated the problem, and it looks very different today. (Indeed, the great social problem of the end of this century may be population that is falling too rapidly.) And while Ehrlich is still peddling the same Malthusian gloom, he never turns up on the Tonight Show any more; in fact, he doesn't even make it on Hardball or Countdown with Krazy Keith.",0.0,5.2,0.0,0.0 - This text does not mention any of the codes in the codebook related to climate change.
16,What happens to an air parcel when a CO 2 molecule absorbs an IR photon? Since the molecule can only exist in specific discrete energy states it jumps to a higher (excited) energy state. However in this process the translational energy of the CO 2 molecule does not change. The average speed of the molecules of the air parcel containing this CO 2 molecule has not increased. Since temperature is related to the root mean square speed of the molecules the temperature of the air parcel does not increase. CO 2 does not trap heat.,2.3,2.3,2.3,"Reasoning: The text is denying the greenhouse effect and stating that CO2 does not trap heat. This aligns with code 2.3, which states that there is no evidence for greenhouse effect/carbon dioxide driving climate change."
17,"president win in a landslide, or by a narrow margin; did he have any coat-tails;",0.0,0.0,0.0,0.0 - None of the above codes apply. The text is not related to climate change or any of the topics covered in the codebook.
18,"Just add sea ice onto the growing list of variables that are simulated poorly by the IPCCs climate models. Over the past few months, weve illustrated and discussed that the climate models stored in the CMIP5 archive for the upcoming 5 th Assessment Report (AR5) cannot simulate observed:",5.1,5.1,1.1,"1.1 - The text mentions that sea ice is not being simulated accurately by climate models, which suggests that the conservative blog post may argue that ice cover isn't melting."
19,"Answer: Almost certainly nothing , for the same reasons as above, and also since CO2 is unlikely to be revealed as the main driver (or even one of the main drivers) of global warming.",2.3,2.3,2.3,"The text suggests that there is no evidence for CO2 driving climate change, which aligns with code 2.3. The text also mentions that CO2 is unlikely to be the main driver of global warming, further supporting this code."
20,"From an op-ed in today's WSJ titled ""In Defense of Carbon Dioxide"" by Harrison Schmitt, an adjunct professor of engineering at the University of Wisconsin-Madison, an Apollo 17 astronaut, and a former U.S. senator from New Mexico; and William Happer, professor of physics at Princeton University and a former director of the office of energy research at the U.S. Department of Energy:",0.0,3.3,3.3,"The text mentions an op-ed defending carbon dioxide, arguing that it is beneficial and not a pollutant. This aligns with code 3.3, which states that CO2 is beneficial and not a pollutant."
21,"The survey, conducted among researchers listed in the American Geological Institutes Directory of Geoscience Departments*, found that climatologists who are active in research showed the strongest consensus on the causes of global warming, with 97 percent agreeing humans play a role .",0.0,0.0,2.3,"The text mentions the consensus among climatologists that humans play a role in causing global warming. Code 2.3 is applicable because it pertains to the belief that there is no evidence for the greenhouse effect or carbon dioxide driving climate change, which contradicts the consensus mentioned in the text."
22,"Charade: Michael Mann again pretends to be an ""involuntary public figure'; Posturing for defamation lawsuit",5.2,0.0,5.2,"The text is criticizing Michael Mann, a climate scientist, for his actions related to a defamation lawsuit. This suggests a bias against the climate movement and the individuals involved in it, making code 5.2 (climate movement is alarmist/wrong/political/biased/hypocritical) the most applicable."
