text_id,text,original_code,replicated_code,model_code,reason,model_prediction,reasoning
0,"Bath faced with Tindall ultimatum

Mike Tindall's agent has warned Bath they have until next week to improve their contract offer to the England man or risk losing him to a rival club.

Dipo Alli says he has received an offer for Tindall which dwarfs Bath's deal and that two other clubs want to talk. ""Mike does not want to go into the Six Nations worrying about where he will be playing his club rugby next season,"" Alli told the Guardian newspaper. ""It is up to (Bath owner) Andrew Brownsword. He has to make it happen."" Tindall is out of contract at the end of the season but it is understood that Brownsword is unwilling to break the club's salary structure to accommodate the 26-year-old's demands. But Alli insists the player is worth more than Bath have put on the table. ""Mike has been at Bath for eight years and wants to remain with the club and his demands are anything but excessive,"" the agent added. ""But Brownsword has to recognise Mike's value and we want to resolve things by the end of next week.""
",sport,sport,sport,"This news story is about a rugby player, Mike Tindall, and his contract negotiations with his current club, Bath. The article discusses his agent's warning to Bath about improving their contract offer or risk losing Tindall to a rival club. This story is clearly related to sports, specifically rugby, and therefore the most applicable code is ""sport"".",sport,"This tweet is related to rugby (Mike Tindall is an England rugby player) and club rugby contracts, which falls under the sport category."
1,"Big guns ease through in San Jose

Top-seeded Americans Andy Roddick and Andre Agassi survived minor scares to reach the last eight of the SAP Open.

Agassi endured early problems against left-handed Dane Kenneth Carlsen before sealing a 7-5 6-1 victory. And world number three Roddick dropped a set to Korean player Hyung-Taik Lee, before pulling out a 6-3 3-6 6-2 win in San Jose, California. Seventh seed Jurgen Melzer came through 6-3 6-3 against Xavier Malisse - winner in Delray Beach last week. Frenchman Cyril Saulnier, meanwhile, fired 19 aces to secure a 6-1 7-6 win over Czech qualifier Tomas Zib.

Roddick broke a racket in frustration in the third game of the second set. and afterwards was unimpressed with his form. ""I'm not playing great,"" he said. ""But I'm through and I'm going to keep battling. ""A lot of people are under the assumption that it's easy to play well every week and it's not."" It is the 12th time in 13 appearances at the event that Agassi, now 34, has progressed to the quarter-final stage. He came from 0-40 down in the opening game to hold serve and gradually wore Carlsen down after attacking his backhand. Agassi also employed several lobs and charged to the net to unsettle the 31-year-old Dane, ranked 88th in the world. ""As the match went on, I got real patient and waited for my opportunities and felt pretty good,"" said Agassi.
",sport,sport,sport,"The text is reporting on a tennis tournament, specifically the SAP Open in San Jose, California. It provides updates on the progress of several players, including Andy Roddick and Andre Agassi, and their matches against other players. This falls under the category of sport.",sport,"The text is about a tennis tournament, specifically the SAP Open, and discusses the performance of various tennis players, making it a perfect fit for the ""sport"" code."
2,"Chinese dam firm 'defies Beijing'

The China Three Gorges Project Corp is refusing to obey a government order to stop construction of one of its giant dams, the Chinese state press has said.

The builder of the Three Gorges Dam is continuing work on the sister Xiluodu dam, said the Beijing News. The Xiluodu dam is one of 30 such large-scale construction projects called to a halt because of a lack of proper environmental checks. The Beijing News said the company may instead choose to pay a fine. The firm has also ignored orders to stop construction at two of its other projects - the Three Gorges Underground Power Plant and the Three Gorges Project Electrical Power Supply Plant.

So far, only 22 of the 30 construction projects targeted by China's State Environmental Protection Agency (Sepa) for having not carried out mandatory environmental impact assessments have complied with its shutdown order. The China Three Gorges Project Corp could now face a fine up to 200,000 yuan ($24,000; £12,700). Last week, it denied that its projects violated regulations. ""The Three Gorges Corporation has all along abided by the law and have built our projects in accordance with the law,"" it said.

The Sepa order comes as the Chinese government appears to be trying to cool the country's booming economy. Previously it has encouraged construction of new electricity generating capacity to solve chronic energy shortages, which forced many factories into part-time working last year. In 2004, China increased its generating capacity by 12.6% to 440,700 megawatts (MW). The Xiluodu Dam is designed to produce 12,600 MW of electricity, and is being built on the Jinshajiang - or ""river of golden sand"" as the upper reaches of the Yangtze are known. It is a sister project to the main Three Gorges Dam downstream where more than half a million people have had to be relocated, drawing criticism from environmental groups and overseas human rights activists.
",business,business,politics,"This news story is about a Chinese company defying a government order to stop construction on one of its dams, which is a political issue. The article also mentions the Chinese government's efforts to cool the country's booming economy, which further supports the political nature of the story. Therefore, the most applicable code is politics.",business,"This tweet is related to a company (China Three Gorges Project Corp) and its actions regarding a government order, which falls under the category of business and economic issues."
3,"Wenger offers Mutu hope

Arsenal boss Arsene Wenger would consider signing Adrian Mutu once the striker has served his drugs ban.

Mutu was sacked by Chelsea on Friday after testing positive for cocaine - a move Wenger has backed. But he said: ""I don't even wonder if that could happen because I think he will be suspended for a long period. ""But once he has served his suspension, he has the right again to start from zero. I would then meet the player and see what he tells me."" Mutu faces a ban of between six months and two years when the Football Association decides on his punishment. Chelsea decided to act before his case was heard and sacked the striker on grounds of gross misconduct after it was revealed that he had failed a drug test.

But Mutu has hit out at the club's decision, saying: ""Chelsea have destroyed me."" He told the Sunday Mirror: ""I don't know what I'm going to do. I am shocked and surprised by their decision. ""I didn't expect them to pay me while I was suspended but I never thought they would sack me either. ""Why didn't they wait to do this? Now my career is in ruins. ""I might as well walk away from football. What is there left for me?""

Chelsea have been criticised for their stance, with the Professional Footballers' Association accusing the club of failing in their duty of care to the player. And Mutu agreed, adding: ""It is unfair. If they were going to sack me they should have done it afterwards. ""Why did they go public? To make an example of me? It makes it very difficult for me now.""
",sport,sport,sport,"This news story is about a football player who has been sacked by his club after testing positive for cocaine. The article discusses the potential consequences for the player, including a ban from the Football Association. The article also includes quotes from the player and criticism of the club's decision from the Professional Footballers' Association. Overall, this article is most applicable to the sport code as it is primarily focused on a sports-related issue.",sport,"This tweet is about football (soccer) and a player's career, specifically Adrian Mutu's situation with Arsenal and Chelsea, which clearly falls under the category of sports."
4,"Gerrard happy at Anfield

Liverpool captain Steven Gerrard has reiterated his desire to stay at Anfield and win trophies with the club.

The 24-year-old England midfielder is determined to see out his contract, despite reported interest from Chelsea. He said: ""I'm signed here for this season and another two so there is no situation. There's a lot of speculation but that's not down to me. ""As club captain all I want to do is help us get back up the table and into the Champions League again."" Gerrard looked set to move to Chelsea during the summer and speculation of a switch to Stamford Bridge has again arisen, with the January transfer window approaching. He raised doubts about his Reds future when he said he wanted the club to prove they were title challengers in the very near future or he might leave. Liverpool boss Rafael Benitez has insisted that Gerrard has promised him he wants to stay at Anfield. Benitez said: ""I said to Steven that I was sure he wanted to stay here and he said 'I do'.

""I then said to him 'Look, if you want to win titles, you want medals and you want Liverpool to have these things then I am going to need your help'. ""I really think he wants to stay so now what we must do is make the squad stronger for him."" Meanwhile, Gerrard has urged the Anfield board to sign Real Madrid striker Fernando Morientes in the January transfer window. Morientes, 28, has already expressed a willingness to come to England. Gerrard added: ""He's a great player. He scores goals in the league, in cup competitions and also in the Champions League. ""I don't think he'd be able to play for us in Europe this season but if we are able to get hold of him, we'd be getting ourselves a great player.

""He'd have Spanish coaches, a Spanish manager and we have got three or four Spanish players here now so they'll help him settle in. ""Rafael Benitez knows what he wants and he knows how to strengthen the squad he's got and if the right players become available at the right price I am sure we will strengthen. ""It would certainly be nice to see a few new faces in January to freshen things up.""
",sport,sport,sport,"The article is about Liverpool captain Steven Gerrard's desire to stay at Anfield and win trophies with the club. It discusses his contract, his doubts about the club's future, and his desire for the club to sign Real Madrid striker Fernando Morientes. All of these topics are related to sports, specifically football (soccer), making the most applicable code ""sport"".",sport,"The text is about Steven Gerrard, a football player, and discusses his career with Liverpool FC and his opinions on the team and potential transfers. The content is centered around sports news, making the ""sport"" code the most fitting."
5,"Merritt close to indoor 400m mark

Teenager LaShawn Merritt ran the third fastest indoor 400m of all time at the Fayetteville Invitational meeting.

The world junior champion clocked 44.93 seconds to finish well clear of fellow American Bershawn Jackson in Arkansas. Only Michael Johnson has gone quicker, setting the world record of 44.63secs in 1995 and running 44.66secs in 1996. Kenyan Bernard Lagat missed out on the world record by 1.45secs as he ran the third quickest indoor mile ever to beat Canada's Nate Brannen by almost 10secs. The Olympic silver medallist's time of three minutes 49.89secs was inferior only to the 1997 world record of Moroccan Hicham El Guerrouj and former world record holder Eamonn Coghlan of Ireland's 3:49.78. Lagat was on course to break El Guerrouj's record through 1200m but could not maintain the pace over the final 400m. Ireland's

continued his excellent form by winning a tight 3,000m in 7:40.53. Cragg, who recently defeated Olympic 10,000m champion Kenenisa Bekele in Boston, held off Bekele's Ethiopian colleague Markos Geneti by only 0.19secs to secure his victory. Mark Carroll, who will join Cragg in the European Indoor Championships next month, finished a solid third in 7:46.78. Olympic 200m gold medallist

of Jamaica ran the fastest women's 60m in the world this year as she equalled her personal best of 7.09secs. World indoor 60m hurdles champion

also won, improving his season-leading time to 7.51secs.
",sport,sport,sport,"The text is reporting on various athletic events, including a record-breaking performance by a teenager in the indoor 400m, a Kenyan runner's near miss at breaking a world record in the indoor mile, and the results of several other races. Therefore, the most applicable code is sport.",Error,API request failed after 3 attempts: Empty response from API
6,"Jones happy with Henson heroics

Wales fly-half Stephen Jones admitted he was happy to hand Gavin Henson responsibility for taking the match-winning kick against England.

Jones had missed three earlier shots at goal when Wales, 9-8 down, were awarded a long-range penalty with four minutes left in Cardiff. ""I knew the percentages of Gavin reaching it were far higher than me,"" Jones said. ""When he said he wanted it, there were no problems."" Jones had seen a long-range effort fall a whisker under the crossbar on the hour, before Charlie Hodgson put England in front with 10 minutes left. ""I looked at where it was and I knew I was going to struggle to make it,"" Jones added. ""I said to Gareth (Thomas, the Wales captain) 'This is touch and go.' It was out of my range and obviously Gavin is phenomenal when it comes to distance. He was confident and fancied it. ""There were no questions that he'd miss it the way he was playing. He had a superb game."" Jones was happy to hail Henson's heroic contribution to Wales' first win over England in Cardiff since 1993. ""Physically he's a specimen: he's a balanced player, he glides when he runs and obviously he's got a great kicking game as well,"" Jones said.

""His defence was superb, he made some great hits and he had a great game. ""I'm glad he's Welsh."" Victory over England for the first time since 1999 will no doubt fuel expectations of what Wales might achieve in this year's Six Nations. But they now face three away fixtures in Italy, France and Scotland before completing their campaign against Ireland in Cardiff. ""People all over the world want to see Wales back at the top table of world rugby,"" said a proud coach Mike Ruddock. ""But we are not there yet. The next step is finding the consistency to get further wins. ""We have to travel this week and we can't afford to get too giddy about this result. ""We have got to be professional and keep focused on facing Italy.""

None more so than Henson, who can now expect to have the same sort of spotlight thrust upon him as the likes of Jonny Wilkinson and Brian O'Driscoll. The confident 23-year-old is undaunted by the prospect of dealing with such weighty expectations however. ""I'm the sort of player who likes pressure on me,"" he said. ""It makes me more concentrated and I think I perform better under more pressure. ""I set a high standard against England and I've got to back it up next week. ""Two years ago when we played Italy I wasn't involved and we lost, so we've got to put that right next week.""
",sport,sport,sport,"The text is about a rugby match between Wales and England, with quotes from players and the coach discussing the game and their future plans. It also mentions the performance of a specific player, Gavin Henson, and his potential future in the sport. Therefore, the most applicable code is sport.",sport,"The tweet is about rugby, a sport, and discusses Wales' win over England in the Six Nations Championship.
    ```"
7,"MPs to debate 'euthanasia laws'

MPs are preparing to debate a bill which critics claim would legalise euthanasia ""by the back door"".

The bill would give legal force to ""living wills"", where people say they want medical treatment withheld if they become severely incapacitated. The Mental Capacity Bill has broad support from charities who say it would give better safeguards over treatment. But Christian groups say it could mean doctors withholding food and fluids even if they think it inappropriate.

Ministers insist the Mental Capacity Bill - for England and Wales - would not change laws on assisted suicide and contains a presumption in favour of preserving life.

The bill would establish a legal presumption that everybody can make decisions about their own treatment unless proved otherwise. It would allow people to give somebody the power of attorney to make decisions on their behalf, which could be challenged by doctors. Critics fear it could allow ""killing by omission"" through withdrawing treatment. An amendment to the bill - specifically preventing decisions that would bring about death - has been tabled by former Conservative leader Iain Duncan Smith. Ninety one MPs have signed a petition backing the amendment. MPs could vote on it later on Tuesday, during the bill's report stage debate. The Bill will then go to a third reading and be debated in the Lords, before becoming law.

The Christian Medical Fellowship (CMF) and Lawyers' Christian Fellowship (LCF) said the Mental Capacity Bill would allow euthanasia by the ""back door"". Peter Saunders of the CMF said it believed advance refusals should be only advisory, not legally binding. ""CMF is concerned that patients will make unwise and hasty advance decisions to refuse food and fluids without being properly informed about the diagnosis and the expected course their illness will take,"" he said.

The LCF's Andrea Williams said there were ""too many loopholes that could be abused by unscrupulous doctors"". Ex-Labour minister Frank Field told BBC Two's Newsnight programme there was a danger people would feel under pressure to ""do away"" with themselves so relatives could inherit their assets.

Constitutional Affairs Minister David Lammy said laws affecting 750,000 people with dementia needed updating. Mr Lammy told BBC News Labour MPs would not get a free vote as the law was being strengthened, not changed. ""We are against euthanasia, we are against assisted suicide but we are in a situation now where people can make living wills and that has the force of the common law,"" he said. ""Doctors are saying they want more clarity. Patients are saying they want more clarity."" The Making Decisions Alliance, which includes the Alzheimer's Society, Age Concern, Mencap and the National Autistic Society, said misunderstandings over the bill had to be cleared up. ""It will not change the current law on euthanasia and will actually provide a series of better safeguards when decisions are made for people who lack capacity,"" the alliance said in a statement. The British Medical Association also backs the bill, saying it just gives incapacitated people the same rights as others. Debate on legalising euthanasia has intensified in the UK because of cases like that of motor neurone patient Diane Pretty. She died two years ago after losing a legal battle to allow her husband to help her commit suicide.
",politics,politics,politics,"The text is about a bill being debated by MPs in England and Wales regarding the legal force of ""living wills"" and the potential implications for euthanasia. This falls under the category of politics as it involves the legislative process and decision-making by elected officials.",politics,"The article primarily discusses the debate around a bill in the UK parliament that would legalise euthanasia, which is a political issue related to government and lawmaking."
8,"Muslim group attacks TV drama 24

A British Muslim group has criticised the new series of US drama 24, which is about to be aired on Sky One, claiming it portrays Islam unfairly.

The Muslim Council of Britain has complained to broadcasting watchdog Ofcom. It says the programme breaches editorial guidelines. The group's members met with Sky executives on Tuesday after viewing previews of the first five episodes. The drama, now in its fourth series, begins on Sunday evening. The new series portrays a Muslim family as a sleeper terrorist cell. The Muslim Council of Britain said in a statement: ""We are greatly concerned by the unremittingly hostile and unbalanced portrayal of Muslims in this series of 24 based upon a preview of the first five episodes that we have seen."" ""There is not a single positive Muslim character in the storyline to date. At a time when negative stereotypes of Muslims are on the increase we feel that Sky - as a major UK broadcaster - has a responsibility to challenge these insidious views, not help to reinforce them."" But Sky denied the programme breached broadcasting guidelines. A spokesperson said: ""During a useful meeting yesterday, Sky listened to the concerns raised by representatives of the council. Sky does not believe that the episodes that it has reviewed to date breach Ofcom's programme code."" Fox TV, which shows the series in the US, is broadcasting public service announcements showing Muslims in a positive light after complaints about the series.
",entertainment,entertainment,politics,"The news story is about a Muslim group criticizing a TV drama and complaining to a broadcasting watchdog. It also involves a meeting between the group and Sky executives. This falls under the category of politics as it deals with issues related to governance, power, and decision-making.",entertainment,"The tweet is about a TV drama, 24, and a Muslim group's criticism of the show's portrayal of Islam, which falls under the category of entertainment news."
9,"TV presenter Deeley drops CD:UK

Cat Deeley has resigned as host of ITV1's Saturday morning children's music show CD:UK after six years.

The 28-year-old host who also presents Stars In Their Eyes said she wanted to concentrate on new television projects. ""I've had a great few years, met some really incredible people and been given some wonderful opportunities,"" the presenter said. Deeley will host her last show on 5 March and guest presenters will stand in until a replacement is found.

The long-running presenter said: ""I would like to take this opportunity to thank the CD:UK team and all the viewers that have watched, supported the show and let me gate crash their Saturday morning. ""Whilst obviously I am really sad to say goodbye, I'm immensely excited about the future."" Deeley formerly co-hosted SM:tv, the children's show which airs before CD:UK on a Saturday morning, alongside hit presenters Ant and Dec. She won a Children's Bafta award for best presenter in December 2001 and also fronted BBC One's Fame Academy series.
",entertainment,entertainment,entertainment,The news story is about a TV presenter resigning from a children's music show and wanting to focus on new television projects. This falls under the category of entertainment.,entertainment,"This tweet is about a TV presenter, Cat Deeley, leaving a children's music show, CD:UK, and discusses her past and future projects in the entertainment industry."
