text_id,code_id,code_name,text,original_code,replicated_code,original_model_code,original_reason,new_model_code,new_model_reason
1,1,HSTG,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"There are no hashtags used in this tweet, only a hyperlink. The codebook specifically states to exclude hyperlinks from the decision of whether hashtags are used. Therefore, the most applicable code is ""No.""",No,The tweet does not contain any hashtags.
1,2,ATSN,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"There are no at signs (@) present in this tweet, only a hyperlink. Therefore, the code for at signs is not applicable.",No,"There are no ""@"" signs in this tweet, only a hyperlink."
1,3,CRIT,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not criticize another person or idea, it simply praises someone. Therefore, the code 'No' is the most applicable.",No,"The tweet does not criticize another person or idea. Instead, it praises someone, calling them a ""great guy"" with ""great ratings""."
1,4,MEDI,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"This tweet does not contain any derogatory or condescending statements about the news media or individual journalists. It is simply a positive comment about someone with good ratings. Therefore, the code is ""No"".",Yes,"The tweet is coded as MEDI because it contains a positive statement about someone, likely a media figure, which implies that Trump is trying to contrast this person with others in the media who he has criticized in the past."
1,5,FAMY,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,The tweet does not reference any members of Donald Trump's immediate family.,No,The tweet does not mention any members of Donald Trump's immediate family.
1,6,PLCE,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,The tweet does not reference the police or individual police officers. It is a compliment to someone with great ratings.,No,"The tweet does not mention the police or any related terms, it appears to be a tweet about someone with great ratings, likely a TV personality or journalist."
1,7,MAGA,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not reference Donald Trump's 2016 campaign slogan ""Make America Great Again"" or any variation of it. It simply describes someone as a ""great guy"" with ""great ratings"". Therefore, the code for this tweet is ""No"".",Yes,"The tweet includes a hashtag #MAGA, which is a direct reference to Donald Trump's 2016 campaign slogan."
1,8,CAPT,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not contain any words in all capital letters, and the use of parentheses and an exclamation point do not qualify as emphasis through capitalization. Additionally, the link and hashtag are excluded from this decision.",No,There are no words that contain only capital letters in this tweet.
1,9,INDV,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,Yes,Yes,Yes,"The tweet references an individual person, even though they are not named. The use of ""guy"" implies a single person, and the use of ""great"" suggests a positive opinion of this person. Therefore, this tweet should be coded as a ""Yes"" for referencing an individual person.",Yes,"This tweet references an individual person, as indicated by the phrase ""a great guy"", which is likely referring to someone other than Donald Trump himself."
1,10,MARG,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not reference any marginalized group or individual, so it does not meet the criteria for a ""Yes"" code.",No,"The tweet does not explicitly reference a marginalized group or groups. It appears to be a tweet about a person with great ratings, but it does not mention any specific group."
1,11,INTN,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not reference any international topics outside of the USA, other countries, international leaders, trade, or NATO. It is simply a compliment towards someone with good ratings.",No,"This tweet does not reference international topics outside of the USA. It appears to be a tweet about a person with great ratings, but it does not mention any specific international topics or locations."
1,12,PRTY,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not reference any US political parties or ideologies. It is simply a compliment towards someone with good ratings. Therefore, the code for this tweet is ""No"".",No,"This tweet does not reference US political parties. It appears to be a tweet about a person, possibly a media figure, and does not contain any language related to political parties."
1,13,IMMG,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,This tweet does not reference immigration in the US in any way. It is simply a compliment to someone with good ratings.,No,"This tweet does not reference immigration in the US. It appears to be a tweet about a person with great ratings, but there is no mention of immigration."
2,1,HSTG,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,Yes,Yes,"The tweet includes a hashtag (#USA) which is not a hyperlink, indicating the use of hashtags. Therefore, the code ""Yes"" is applicable.",Yes,"The tweet contains the hashtag ""#USA""."
2,2,ATSN,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not contain any at signs (@) or ampersands that are present in retweets. It only includes a hyperlink and a hashtag. Therefore, the code ""No"" is most applicable.",Yes,"The tweet contains an ""@"" symbol, which is used to mention another Twitter user."
2,3,CRIT,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not criticize another person or idea, it is simply an invitation to join a live event. Therefore, the most applicable code is 'No'.",No,This tweet does not criticize another person or idea. It appears to be an invitation to a ceremony and does not contain any negative language or suggestions that someone did something wrong.
2,4,MEDI,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not contain any statements about the news media, derogatory or otherwise. It is simply an invitation to join a live event. Therefore, the code is ""No"".",No,"This tweet does not contain any derogatory or condescending statements about the news media. It appears to be a promotional tweet for a live event, and does not mention the media at all."
2,5,FAMY,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not reference any members of Donald Trump's immediate family, so the code ""No"" is most applicable.",No,"The tweet does not mention any members of Donald Trump's immediate family. It appears to be a tweet about a public event, the commissioning ceremony of the USS Gerald R. Ford, and does not contain any references to his family."
2,6,PLCE,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not reference the police or individual police officers, so the ""Police"" code is not applicable.",No,"This tweet does not reference the police. It appears to be an invitation to a ceremony for a new naval ship, and there is no mention of law enforcement or police."
2,7,MAGA,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not reference Donald Trump's 2016 campaign slogan ""Make America Great Again"" or any variation of it. It is a general tweet about a commissioning ceremony for a naval ship and includes the hashtag #USA. Therefore, the most applicable code is ""No"".",No,"This tweet does not reference Donald Trump's 2016 campaign slogan ""MAGA"" or any related phrase, it appears to be an invitation to a ceremony for the USS Gerald R. Ford."
2,8,CAPT,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"This tweet does not contain any words in all capital letters, and any capitalization used is for proper nouns or at the beginning of sentences. The hashtags and links are excluded from this decision, so they do not affect the coding decision. Therefore, the most applicable code is ""No.""",Yes,"The tweet contains the hashtag ""#USA"", which is written in all capital letters."
2,9,INDV,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,Yes,No,No,"Reasoning: The tweet does not reference any individual person, but rather promotes an event for the commissioning ceremony of a ship. Therefore, the code for referencing an individual person does not apply.",Yes,"The tweet references an individual person, Gerald R. Ford, who is not Donald Trump."
2,10,MARG,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,The tweet does not reference any marginalized group or groups. It is simply an invitation to join a live event.,No,"The tweet does not explicitly reference a marginalized group or groups. It appears to be a promotional tweet about a commissioning ceremony for a new naval ship, and does not contain any language that targets or mentions a specific marginalized group."
2,11,INTN,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not reference any international topics outside of the USA, other countries, or international leaders. It only mentions the commissioning ceremony of a US Navy ship. Therefore, the code ""No"" is the most applicable.",No,"The tweet is referencing a US Navy ship and a commissioning ceremony, which is a domestic event, and does not mention any international topics outside of the USA."
