text_id,code_id,code_name,text,original_code,replicated_code,model_code,reason,new_model_code,new_model_reason
0,0,env_problems,Autumn period especially its second half is characterized by many dull days lasting precipitations and fogs.,No,No,No,"The text is not about an environmental problem, but rather describes weather conditions during a specific time period.",No,"The text does not mention any environmental problem, it only describes weather conditions."
0,1,pollution,Autumn period especially its second half is characterized by many dull days lasting precipitations and fogs.,No,No,No,"The text is not about environmental pollution, but rather about weather conditions during a specific time period.",No,"The text does not mention environmental pollution, it only describes weather conditions."
0,2,treatment,Autumn period especially its second half is characterized by many dull days lasting precipitations and fogs.,No,No,No,"The text is not about treatment plants or environmental technologies, but rather about weather conditions during a specific time period.",No,"The text does not mention treatment plants or environmental technologies, it appears to be describing weather conditions.""

    print(response)"
0,3,climate,Autumn period especially its second half is characterized by many dull days lasting precipitations and fogs.,Yes,Yes,No,"The text is not about climatic indicators, but rather about the weather conditions during a specific period of time.",Yes,"The text matches the code because it describes a specific period of the year (autumn) and its characteristic weather patterns (dull days, lasting precipitations, and fogs), which are climatic indicators."
0,4,biomonitoring,Autumn period especially its second half is characterized by many dull days lasting precipitations and fogs.,No,No,No,The text is not about biological or biotic monitoring in water or a river basin. It is simply describing the weather during a specific time period.,No,"The text does not mention biological, biotic monitoring, water, or a river basin, but instead describes weather conditions during the autumn period.""

    print(response)"
1,0,env_problems,In the lower part of the basin snow cover is set in the second half of December and melts in the end of February – beginning of March.,No,No,No,"The text is not discussing an environmental problem, but rather describing a natural occurrence of snow melting in a specific time frame.",No,"The text does not mention any environmental problem, it only describes the snow cover and melting process in a specific region."
1,1,pollution,In the lower part of the basin snow cover is set in the second half of December and melts in the end of February – beginning of March.,No,No,No,"The text is not about environmental pollution, but rather about the timing of snow cover and melting in a specific location.",Invalid,""")

    if response.lower() == ""yes"":
        print(""Incorrect. The text does not mention environmental pollution."")
    elif response.lower() == ""no"":
        print(""Correct. The text is about snow cover and does not mention environmental pollution."")
    else:
        print(""Invalid response. Please respond with 'Yes' or 'No'."")

if __name__ == ""__main__"":
    main()"
1,2,treatment,In the lower part of the basin snow cover is set in the second half of December and melts in the end of February – beginning of March.,No,No,No,"The text is not about treatment plants or environmental technologies, but rather about the timing of snow cover and melting in a specific geographic location.",No,"The text does not mention treatment plants or environmental technologies, it appears to be discussing snow cover and seasonal changes."
1,3,climate,In the lower part of the basin snow cover is set in the second half of December and melts in the end of February – beginning of March.,Yes,Yes,No,"The text is not about climatic indicators, but rather about the timing of snow cover in a specific location.",Invalid,""")

    if response.lower() == ""yes: the text mentions snow cover, which is a climatic indicator"":
        print(""Correct! The text does match the code."")
    elif response.lower() == ""no: "":
        print(""Incorrect. The correct response is Yes: the text mentions snow cover, which is a climatic indicator."")
    else:
        print(""Incorrect. Please respond in the correct format."")"
1,4,biomonitoring,In the lower part of the basin snow cover is set in the second half of December and melts in the end of February – beginning of March.,No,No,No,The text is not about biological or biotic monitoring in water or a river basin. It is simply describing the timing of snow cover and melt in a river basin.,No,"The text does not mention biological or biotic monitoring, it only talks about snow cover in a river basin."
2,0,env_problems,Such city as Khmelnitsky (>200000) generates a large amount of wastewaters which does not allow reaching effective level of its dilution by natural waters downstream the discharge.,Yes,Yes,Yes,"The text discusses the issue of wastewater generation in a city and its impact on natural waters downstream, which is an environmental problem.",Yes,"The text describes a situation where a large amount of wastewaters is generated, which can lead to environmental problems, specifically pollution of natural waters."
2,1,pollution,Such city as Khmelnitsky (>200000) generates a large amount of wastewaters which does not allow reaching effective level of its dilution by natural waters downstream the discharge.,Yes,No,Yes,"The text mentions the generation of wastewater, which is a form of environmental pollution.",Yes,"The text mentions wastewaters and discharge, which are indicators of environmental pollution.""
    print(response)"
2,2,treatment,Such city as Khmelnitsky (>200000) generates a large amount of wastewaters which does not allow reaching effective level of its dilution by natural waters downstream the discharge.,Yes,No,No,"The text is not about treatment plants or environmental technologies, but rather about the issue of wastewater management in a specific city.",No,"The text does not mention treatment plants or environmental technologies, it only talks about the amount of wastewaters generated by a city and its dilution by natural waters."
2,3,climate,Such city as Khmelnitsky (>200000) generates a large amount of wastewaters which does not allow reaching effective level of its dilution by natural waters downstream the discharge.,No,No,No,"The text is not about climatic indicators, but rather about the issue of wastewater management in a specific city.",No,"The text does not mention climatic indicators, but rather focuses on wastewater generation and dilution by natural waters."
2,4,biomonitoring,Such city as Khmelnitsky (>200000) generates a large amount of wastewaters which does not allow reaching effective level of its dilution by natural waters downstream the discharge.,No,No,No,The text is not about biological or biotic monitoring in water or a river basin. It is discussing the issue of wastewater management in a city and its impact on downstream water quality.,No,"The text does not mention biological or biotic monitoring, but rather focuses on the impact of wastewater on natural waters."
3,0,env_problems,Annual norm of precipitations in the upper and middle parts of the basin makes from 669 mm to 550 mm gradually reducing from the north to the south.,No,No,No,"The text is discussing the annual precipitation levels in a specific geographic area, but it does not mention any environmental problems or concerns related to water quality. Therefore, the code ""No"" is the most applicable.",Yes,"The text does not explicitly mention an environmental problem, but it provides data about precipitation levels in a specific region, which could be related to environmental issues such as water scarcity or flooding."
3,1,pollution,Annual norm of precipitations in the upper and middle parts of the basin makes from 669 mm to 550 mm gradually reducing from the north to the south.,No,No,No,"The text is about the annual norm of precipitations in a specific geographic area and does not mention anything about environmental pollution. Therefore, the code ""No"" is the most applicable.",No,"The text does not mention environmental pollution, it only talks about precipitation levels in a basin."
3,2,treatment,Annual norm of precipitations in the upper and middle parts of the basin makes from 669 mm to 550 mm gradually reducing from the north to the south.,No,No,No,"The text is not about treatment plants or environmental technologies, but rather about precipitation levels in a specific geographic area.",No,"The text does not mention treatment plants or environmental technologies, it only talks about precipitation levels in a basin."
3,3,climate,Annual norm of precipitations in the upper and middle parts of the basin makes from 669 mm to 550 mm gradually reducing from the north to the south.,Yes,Yes,No,"The text is about the annual norm of precipitations and does not mention any climatic indicators. Therefore, the code ""No"" is the most applicable.",Yes,"The text matches the code because it explicitly mentions a climatic indicator, specifically the annual norm of precipitations, which is a measure of climate."
3,4,biomonitoring,Annual norm of precipitations in the upper and middle parts of the basin makes from 669 mm to 550 mm gradually reducing from the north to the south.,No,No,No,The text is not about biological or biotic monitoring in water or a river basin. It is simply stating the annual precipitation levels in different parts of a basin.,No,"The text does not mention biological or biotic monitoring, but rather refers to precipitation levels in a river basin."
4,0,env_problems,The site in the area of Mygiya rapids can be considered to be a reference site.,No,No,No,"The text does not discuss an environmental problem, but rather describes a site as a reference point. Therefore, the code ""No"" is most applicable.",No,"The text does not mention any environmental problem, it rather describes a site as a reference site, implying a neutral or baseline condition."
4,1,pollution,The site in the area of Mygiya rapids can be considered to be a reference site.,No,No,No,"The text does not mention anything about environmental pollution, but rather describes a specific site as a reference point. Therefore, the code ""No"" is the most applicable.",No,"The text does not mention pollution, it appears to be describing a reference site, implying a pristine or unaffected area.""
    print(response)"
4,2,treatment,The site in the area of Mygiya rapids can be considered to be a reference site.,No,No,No,"The text does not mention anything about treatment plants or environmental technologies. It simply describes a location as a reference site. Therefore, neither ""Yes"" nor ""No"" codes from the codebook are applicable.",No,"The text does not mention treatment plants or environmental technologies, it appears to be describing a specific location.""
    print(response)"
4,3,climate,The site in the area of Mygiya rapids can be considered to be a reference site.,No,No,No,"The text is not about climatic indicators, but rather about a specific site and its classification as a reference site.",No,"The text does not mention climatic indicators, it appears to be describing a specific site location.""
    print(response)"
4,4,biomonitoring,The site in the area of Mygiya rapids can be considered to be a reference site.,No,Yes,No,The text does not mention anything about biological or biotic monitoring in water or a river basin. It simply describes a site as a reference site.,No,"The text does not mention biological or biotic monitoring, it only describes a site as a reference site.""
    return response

# Test 2
print(analyze_text("
5,0,env_problems,The existing wastewater treatment facilities were constructed during the Soviet time they are physically and technologically outdated they work inefficiently.,Yes,No,Yes,"The text discusses outdated wastewater treatment facilities, which is an environmental problem.",Yes,"The text describes the inefficient operation of wastewater treatment facilities, which is an environmental problem."
5,1,pollution,The existing wastewater treatment facilities were constructed during the Soviet time they are physically and technologically outdated they work inefficiently.,Yes,No,Yes,"The text mentions wastewater treatment facilities that are outdated and inefficient, which suggests a potential issue with environmental pollution.",Yes,"The text mentions wastewater treatment facilities, which implies environmental pollution."
5,2,treatment,The existing wastewater treatment facilities were constructed during the Soviet time they are physically and technologically outdated they work inefficiently.,Yes,Yes,Yes,"The text specifically mentions ""wastewater treatment facilities"" and their outdated technology, which falls under the category of environmental technologies. Therefore, the most applicable code is ""Yes"" for treatment plants or environmental technologies.",Yes,"The text matches the code because it specifically mentions ""wastewater treatment facilities"", which are a type of treatment plant."
5,3,climate,The existing wastewater treatment facilities were constructed during the Soviet time they are physically and technologically outdated they work inefficiently.,No,No,No,"The text is not about climatic indicators, but rather about outdated wastewater treatment facilities.",No,"The text does not mention climatic indicators, but rather discusses the condition and efficiency of wastewater treatment facilities."
5,4,biomonitoring,The existing wastewater treatment facilities were constructed during the Soviet time they are physically and technologically outdated they work inefficiently.,No,No,No,The text is not about biological or biotic monitoring in water or a river basin. It is discussing the inefficiency of wastewater treatment facilities.,No,"The text is about wastewater treatment facilities, not biological or biotic monitoring in water or a river basin."
6,0,env_problems,The order of values of its organic forms established due to mineralization of autochtonal detritus and mineral forms entering due to allochthonous washing out is almost the same.,Yes,No,No,"The text is not discussing an environmental problem, but rather a scientific observation about the order of values of organic and mineral forms.",No,"The text does not mention any environmental problem, it appears to be a scientific description of a natural process."
